manufacturer,model,curent_model-year,vehicle_type,tax_credit_amount,msrp_limit
Audi,Q5 TFSI e Quattro (PHEV),2023,PHEV,7500,80000
BMW,330e,2023,PHEV,5836,55000
BMW,X5 xDrive45e,2023,PHEV,7500,80000
BMW,X5 xDrive50e,2024,PHEV,7500,80000
Cadillac,Lyriq,2024,EV,7500,80000
Chevrolet,Bolt,2024,EV,7500,55000
Chevrolet,Bolt EUV,2024,EV,7500,55000
Chevrolet,Silverado EV,2024,EV,7500,80000
Chrysler,Pacifica PHEV,2023,PHEV,7500,80000
Ford,E-Transit,2023,EV,7500,80000
Ford,Escape Plug-In Hybrid,2022,PHEV,6843,80000
Ford,Escape Plug-In Hybrid,2023,PHEV,6885,80000
Ford,F-150 Lightning,2023,EV,7500,80000
Ford,Mustang Mach-E,2023,EV,7500,80000
Genesis,Electrified GV70,2024,EV,7500,80000
Jeep,Grand Cherokee 4xe,2024,PHEV,7500,80000
Jeep,Wrangler 4xe,2024,PHEV,7500,80000
Lincoln,Aviator Grand Touring,2024,PHEV,6534,80000
Lincoln,Corsair Grand Touring,2022,PHEV,6843,80000
Lincoln,Corsair Grand Touring,2023,PHEV,6885,80000
Mercedes-Benz,EQE 350 SUV,2023,EV,7500,80000
Nissan,Leaf S,2023,EV,7500,55000
Nissan,Leaf S Plus,2022,EV,7500,55000
Nissan,Leaf SL Plus,2022,EV,7500,55000
Nissan,Leaf SV,2022,EV,7500,55000
Nissan,Leaf SV Plus,2023,EV,7500,55000
Rivian,R1S,2023,EV,7500,80000
Rivian,R1T,2023,EV,7500,80000
Tesla,Model 3 Long Range,2023,EV,7500,55000
Tesla,Model 3 Performance,2023,EV,7500,55000
Tesla,Model 3 RWD,2023,EV,7500,55000
Tesla,Model Y All-Wheel Drive,2023,EV,7500,80000
Tesla,Model Y Long Range,2023,EV,7500,80000
Tesla,Model Y Performance,2023,EV,7500,80000
Volkswagen,ID.4,2023,EV,7500,80000
Volkswagen,ID.4 AWD Pro,2023,EV,7500,80000
Volkswagen,ID.4 AWD Pro S,2023,EV,7500,80000
Volkswagen,ID.4 Pro,2023,EV,7500,80000
Volkswagen,ID.4 Pro S,2023,EV,7500,80000
Volkswagen,ID.4 S,2023,EV,7500,80000
Volvo,S60 (PHEV),2022,PHEV,5419,55000
Volvo,S60 Extended Range,2022,PHEV,7500,55000
Volvo,S60 T8 Recharge (Extended Range),2023,PHEV,7500,55000
